Index;Class frmw;Common Type;count
1;--;MECHANICALFASTENER;15652
11;--;PLATE;1843
18;--;BEAM;892
23;--;COLUMN;387
28;--;MEMBER;161
31;--;SLAB;80
5;BEA;BEAM;6150
21;BEA;MECHANICALFASTENER;549
40;BEA;COLUMN;21
42;BEA;MEMBER;12
47;BEA;PLATE;4
20;BRH;BEAM;745
51;BRH;MEMBER;2
14;BRV;MEMBER;1051
30;BRV;MECHANICALFASTENER;137
43;BRV;BEAM;9
46;BRV;COLUMN;5
19;COL;COLUMN;822
26;COL;BEAM;272
36;COL;SLAB;30
41;COL;MEMBER;16
45;COL;PLATE;6
32;CRB;BEAM;77
35;CRB;COLUMN;37
15;EMB;BEAM;957
24;EMB;PLATE;348
27;EMB;COLUMN;168
37;EMB;SLAB;25
39;EMB;MECHANICALFASTENER;21
6;GRT;BEAM;3850
22;GRT;PLATE;417
49;GRT;COLUMN;3
25;LAD;BEAM;333
33;LAD;COLUMN;76
34;LAD;PLATE;52
2;RAI;BEAM;11668
4;RAI;MECHANICALFASTENER;6620
7;RAI;COLUMN;3391
9;RAI;PLATE;2264
10;RAI;MEMBER;1873
16;STA;BEAM;915
17;STA;MECHANICALFASTENER;902
29;STA;MEMBER;140
38;STA;COLUMN;22
44;STA;SLAB;8
50;STA;PLATE;2
0;STI;PLATE;23269
3;STI;BEAM;7989
8;STI;MECHANICALFASTENER;2759
12;STI;MEMBER;1628
13;STI;COLUMN;1071
48;STI;SLAB;4
