GUID;AREA (m²)
3TX0C3kxHCWxV1BzFgTbxd;140.37
3ZQGt7k1bEQPUur5y7hMwS;76.87
3VPg63iWT69hxlbLSpKqzu;30.15
1JZNe2YbL7E9si$87PBlDQ;16.1
0q_kaq6GbAngcspDq2fuck;41.48
1OXA8eGgzFYBGYIQ2Rb_Ol;43.06
3KyZdbN4nFZgMwxL1R24iS;77.01
271SCxhnX4tOwM4gFjaAF7;16.1
29_abVfk55fQNscr1Jd_Uz;30.15
1T1d4wG4X9SBLFmdodz9Ch;30.15
1vz2Bfdcj6V9ETNv9JnNdh;16.1
2jULNp3_HBMBmUKE$OzkvN;30.15
1v4m5yml5DlBtp_ryG$vhP;30.15
03oVSDoYb5KORmNH_Y6e5n;30.15
1GEhSOV6L8wBLZCROioGB$;19.42
0X9_3uRET5r9KG0tnbUWam;70.0
2Q$35$vmf3LeBHutcwp0np;70.0
2snuUr0_TFlhFt$Gr91uoW;16.72
3Zx_H_qz974xRugg0z3xpL;21.32
31q047yNT1wult$_MfZF6u;21.32
1Sg43mxnH9teuNIfL1GMy9;86.27
2VhswRCyT8W8HDECeAd61Q;280.32
2qYrEyFEP97AbeTtuIf_Eu;74.46
2BgbnvI2jE4AdhNl6CJf49;245.29
0q2cHzqHX1uQTxrtrLYjgy;16.85
0$cQzcPTz1yflzX1S9zYud;18.8
0UW2ovyKr9wAdkdsfrtWeK;23.89
1eV48fmnbAXvvzw5tuaaR6;28.84
16iVdmpn9C1f3C8L7f5SKP;29.28
2fTX2Az0jFI9r5zukg2EIi;103.94
0O$z_6kNX57h2f5BnWDJhH;33.47
3BbTCxIP99$Qsm9VFcKK5G;72.97
1E9hn5s1965g5sQtkBLWMU;43.04
2Ido6nN$nEdu_1VgKQdWNa;696.04
0Ze2pd6pj1SvPfEXctzJaA;766.4
2rbMJRixz8ARwgNNUG0cZF;68.47
2pMw45u_DDmfbOCd2psJHr;19.59
0V$672NMjBBhojPa9AkQ_K;55.26
0z4yP6IdjDSgEmHk0kLMlR;25.96
1tzi_ImEHBuRzyJyfRoVSx;59.2
3hXBHP0TH70P8r0zqkj5cL;30.58
29j9TyHNP629caxXuTFASb;16.93
0UU3ceQ8rF7v5kK6Ttgm9f;58.94
3jAiQ_uxz3Bx4eqvQ8kBTl;30.16
2cFWso2lzAch2zw165KO32;28.81
2ffXG8YIX7m8odCfbFclBq;18.28
18NBOigA980RCUqbV9Nn8s;24.65
2x6Eho3GL2bg$QynoCLWwK;18.77
0s2czpvl1AaeUhehPMjoxD;18.77
1ttHjgWDv5h90pI9EDRgj3;18.77
1ZaJ7gjVr8LuQqbzINmOvx;18.77
1N$mEC7yn41QIX6ed5wus_;28.65
0nfgJ6TUb5whvYkG8NfCXb;22.39
0rhXYCWm1FRfRMF7Pu9CSl;24.65
1ISA4MjcL1MBonql2Fs2bA;16.72
0CzDk3V4nEuxTNVA6MIxlZ;21.35
3lMndcoMv5d9bLbI_6l8Y0;21.35
0smCXq90b1OhDM82LSAd4D;24.65
2Wexsi7Wv2yO4ON9cXzBpJ;23.9
2iX4pyCUn6iwOqhId3Tk7D;22.97
0ZvI2tNd91zfzqHwDG8XRp;28.81
3YPgnarq14rQNj1t5xiZrH;28.61
39hcE8ec1DexmxmUYerK6v;21.32
0cfFvPVCv6HhorHPsxGS0C;24.99
0fgAhDPE9B7AAntyh06uoM;24.65
1BlqhMxX54tQfObszxKCpZ;24.16
36C51NLyXDdQjdK56pczB0;22.94
2sm7HGFGD4ThMpVyAAbu8W;16.72
3yiGzqbg54pfj7yqHLbaLv;19.7
0S9xwG98963gnLgoaYEYKC;28.65
1Q0M7BdFf0hPQzJvo4ZObi;18.61
1CCYDW9pb22xlFgxU_GjIX;18.61
3$J7aFYOv1CRE7487zVCHu;18.61
3kkT5i$crD_hmX89zqAXbC;28.81
3eIvCt3Cv1Exs55tfnaBZ$;28.61
08yuXrvaHF0xhkreQgO9b9;34.01
1Wpu9vAAbFsft1nikUTMVk;21.32
20KzNuuJb8kfUhfywNkQqX;34.6
2s3B8k9fLAVuctjByQvaal;27.86
01ULJoW$T8EeGg8zRRQTWg;28.81
3rdUB2_jDEguWy_20Rreal;21.92
1t9$oGWX5BJeM4PErgsmqa;30.16
1QJl0jWYDFz9U2g92RxJgq;21.35
32q_BBZIf96glwijwu9eAK;21.35
2fz1$Mvzr9DwqGJdukKnaE;21.35
1fAMNlJhf42fOE1EXxmcfI;21.35
1dICwu9avDyu8IYLwNkVGP;19.69
0n9JTEiYL3KQj2disxhiW7;28.65
2CA6K_my9C8Rz8JLguxB9R;21.32
1pPiaTKsD7RP1rXVrOs_aM;30.16
1udsjpjIP878znX8V7FszI;18.61
2uXLjRjjH1Of8YuAIWNv9l;28.81
2Q8_0cKD9CVRZYjGWXUqds;23.9
1FceQaQKDCvvKuuRwT34ZY;23.9
2B81k6TQ17oQkY9h8_6M1F;23.9
2YWiQnMz93cRWzeAKTxgBP;23.9
3mdjkKf4n6hxwk7WzlU6XR;36.29
0MGvRSMyf4nBLEaaeOxiFP;15.69
1AUTDW97HEj8JMmxFOfABT;34.6
3wm_kwNDT4VB9j8giEXxQA;25.29
0RZ3vlHVX9B9hycDPo4UFd;25.29
25hjkxPEf17Aeoez_cHrdf;19.77
1Ag8Kmvw1AS9c0FnOgEsyk;27.36
3nb4t0V_v388Aa$kQevlup;39.27
05xMevbRT339Y2J6YzxrD4;30.54
3y12TVUu54yhGjq0BpHB5z;31.67
0LNnPXKVbATRKPg4x3$3RB;29.11
0nomY64k5Esh_WDScjNzQd;29.68
0zitDGZej86OvCNEQeXrXQ;142.34
1GiAEyOtT1y8SfFdgLLJEK;92.76
3t7fXnAJHDlBY3d3RzR3fU;27.36
3aLDu1oQDCmwhxuTCtBXdY;29.35
17YB8g9ZDAkPHcp3GpXNoZ;23.23
1se9HeYYn91frhYml6hB1j;39.06
1l8XloFTDD9fJT$dfxULev;27.01
1JQ9DSomv6p9kR2foAVeps;55.08
2lfvk0di553x9RDEA0U7vl;28.24
0yWzPaA6f0ShPw0kaPGmzI;21.15
0ZJCRqqv1D8OmKVXOYnxa1;45.19
38BO58Nl90swtz7jJAVUiH;43.55
2zwvlWoYLEOuVSZL5ChANH;52.54
31HCwrtCb8Bh5tKIsBqCXR;22.68
1lOLDf0Pz5RueJioLmI9jr;26.66
0i$oU16s58f9dSyST1GgSq;48.4
3uDJkUoKf3O8Mnc6UCTxR0;27.36
1fy5DJP1PFUvF8zOdwpf9_;37.23
0a$ugzEyP3rA$izbTO2P7I;25.94
3xgof8bFb3pO1oB3_Lldz5;30.6
1chZfIcT18ivp5K1fruT21;26.47
1xJYkJhXP9iAqSMAL9ukPj;19.4
31Xzcbpz18zhPeLtZBkoOH;27.72
05DioXUr5DJepx8d_Q1BZ8;27.72
39mAHjCZH04OwPVDpTiMv0;18.48
1HU47KhfXDy9eCU$RyDR4L;55.53
0zSfHmgzz9Yx50YK4UVGuw;33.21
0UMKSW21zDcf1EO1auRudJ;26.68
1tOWB1Cb94F8iF19c9EUEA;28.45
0u2d$gzgP5s9dEbu2ULh2l;28.45
1bhz_ajKr7eh4RjCTHO6x8;16.73
1CPD9VBU56DOZIUdc5KvIt;50.76
3cUeXxFGrBqxAsGBifWonX;35.53
09FDINLEf6zvFgiK2G2UIy;56.85
00eSpvzCrFZvSNKncjark$;136.65
0eABh2i6539RvG1amvTc8E;47.64
3h1yyj5VD2SeecyE8yuePe;32.4
25mOrpGivBSBJyEqcqO4gc;48.51
3O47NSpD98YfclOJaV3IpS;30.46
16stjCVuf8WPNufnhrwtCO;23.13
2rQBJ337165w4zHMqLCpBJ;19.29
0_CgNzpXX38uOQcJ5QEjnU;23.01
29C10qqtvCFg05_BAlkg_C;23.01
1uGZ_LQEXEaBxzOE4qf2MT;23.64
2wL9tb6Hn6KO1q39w0o26i;37.9
3SndM3HBjELx5w9z0eGHiH;17.04
2kPC7fH$f5jQDsPERTnw4P;18.7
32nEwqdQDCoBAeTlySeLjr;24.42
2TBZ05ayP7AfgdnoB$NFjK;16.29
2bA2PAXeXAcuBz6jgaAFXb;15.98
1WHAIBszDD2h4sIIwt4$2w;15.98
19NcL$WEr42OO0CjGvX$xl;16.8
0nhcRz8wD5NfHNUHy9DxYw;34.34
3a1XuySk5BhO3Wr8ZSAcpV;23.46
1kWk$VysTClA23f3Ns2gF7;18.88
2tCDlJQvP0QO3CuDl8mP82;18.88
2YfMbShPDAsOVAAiBiGzoq;18.88
3RcVZSs$XDngel$RWbVVL6;21.61
1y2kL$j$HEbfhjm_wBZdKj;17.4
2RUB8MYQH76h7jNKqyQAKs;17.15
0lIlZWfmDFgRiPv_wfQLjW;35.03
1obNhI4qjE4Aim7Uh4gkum;71.82
1j2OqQnzHB0wcCjmFg_C8t;17.84
1X1skuBWTBfOVto4dBE2FS;21.39
