GUID;AREA_PGZ (m²)
3TX0C3kxHCWxV1BzFgTbxd;69.11
3ZQGt7k1bEQPUur5y7hMwS;37.99
0q_kaq6GbAngcspDq2fuck;20.25
1OXA8eGgzFYBGYIQ2Rb_Ol;21.0
3KyZdbN4nFZgMwxL1R24iS;38.08
0X9_3uRET5r9KG0tnbUWam;15.03
2Q$35$vmf3LeBHutcwp0np;15.03
24lCy1qN1BKfF01A1nBomJ;8.06
0BbBhqfmT3$QU7ksbivBHV;8.06
31HVNKoRHEseBOUQnkAkmK;8.13
2Y6NyFm4rDqutEddJewTUx;9.63
0xKAI10xP9yODNZrjtAWv4;9.63
2O1j6z6v9C$O2dSJTzg3hv;8.13
2Imdishgb6WezLsYBgGZr4;8.23
3KBYGQMST1aRxokf9x6OZI;8.06
22uIhp6uP3pe6YbPooZiVY;7.35
1Sg43mxnH9teuNIfL1GMy9;42.56
2VhswRCyT8W8HDECeAd61Q;139.26
2qYrEyFEP97AbeTtuIf_Eu;36.52
2BgbnvI2jE4AdhNl6CJf49;121.67
0q2cHzqHX1uQTxrtrLYjgy;8.2
0$cQzcPTz1yflzX1S9zYud;9.17
0UW2ovyKr9wAdkdsfrtWeK;11.63
1eV48fmnbAXvvzw5tuaaR6;14.0
16iVdmpn9C1f3C8L7f5SKP;14.34
2fTX2Az0jFI9r5zukg2EIi;51.31
3XenRSBLr8Zh_cm6TmHxzp;7.38
3alX9XhVP00eKP63G2Vjln;7.29
0O$z_6kNX57h2f5BnWDJhH;16.39
3BbTCxIP99$Qsm9VFcKK5G;35.9
1E9hn5s1965g5sQtkBLWMU;21.15
2Ido6nN$nEdu_1VgKQdWNa;344.63
0Ze2pd6pj1SvPfEXctzJaA;380.12
2rbMJRixz8ARwgNNUG0cZF;33.52
2pMw45u_DDmfbOCd2psJHr;9.55
0V$672NMjBBhojPa9AkQ_K;27.0
0z4yP6IdjDSgEmHk0kLMlR;12.72
1tzi_ImEHBuRzyJyfRoVSx;28.73
3hXBHP0TH70P8r0zqkj5cL;15.06
29j9TyHNP629caxXuTFASb;8.23
0UU3ceQ8rF7v5kK6Ttgm9f;28.71
1Ag8Kmvw1AS9c0FnOgEsyk;9.1
3nb4t0V_v388Aa$kQevlup;19.18
05xMevbRT339Y2J6YzxrD4;14.89
3y12TVUu54yhGjq0BpHB5z;15.47
0LNnPXKVbATRKPg4x3$3RB;14.28
0nomY64k5Esh_WDScjNzQd;14.43
0zitDGZej86OvCNEQeXrXQ;70.37
1GiAEyOtT1y8SfFdgLLJEK;45.55
3t7fXnAJHDlBY3d3RzR3fU;9.1
3aLDu1oQDCmwhxuTCtBXdY;14.27
17YB8g9ZDAkPHcp3GpXNoZ;7.72
1se9HeYYn91frhYml6hB1j;19.07
1JQ9DSomv6p9kR2foAVeps;26.93
2lfvk0di553x9RDEA0U7vl;13.84
0yWzPaA6f0ShPw0kaPGmzI;10.33
0ZJCRqqv1D8OmKVXOYnxa1;22.17
38BO58Nl90swtz7jJAVUiH;21.43
2zwvlWoYLEOuVSZL5ChANH;25.71
31HCwrtCb8Bh5tKIsBqCXR;11.06
1lOLDf0Pz5RueJioLmI9jr;13.0
0i$oU16s58f9dSyST1GgSq;23.65
3uDJkUoKf3O8Mnc6UCTxR0;9.1
1fy5DJP1PFUvF8zOdwpf9_;18.18
0a$ugzEyP3rA$izbTO2P7I;12.55
3xgof8bFb3pO1oB3_Lldz5;15.01
