GUID;ExtrusionX (mm)
14taxZlb12TPanlqXt$7V4;-5172.0
1hSxfwD7z1sef_OAVWu4Oq;-4292.0
38jJAWI3z3seZrZB0S1l8r;4976.0
1glH8dMXf4KwYRapHJ3sS2;5016.0
3$ys0eQ55ByQ$8MAD10dyP;4300.0
2Fl0sFzfz9uO36VYKizLbs;10500.0
35y$p943T8w8fL1a927hKx;4650.0
1jjtyvt_z2DxCMdMDAaypB;4209.0
3b0mEmgKn3bO92jI7pBFil;4300.0
3v4QxzWUvFFvqFXS8bCEP_;-5800.0
3kzLn46PD8x8R9BOFJRSzr;-4648.0
0AG0lFnP9B0ghEcdEtoPJL;4006.0
2hXJ0izqzDhwHJmLlcKF63;5396.0
058Uci4dL8egjvmcrpBflb;5236.0
0aql$JZKz3IhUx7ZsVxLHs;5650.0
1B$MbA6CL5CQRXIsVeLWB0;-5400.0
3T6FiNhkTBWwBSSAalnMCR;5856.0
0tBA0eThv74O8GSnmcTIEa;5016.0
1D29rkxGLFc8rnbH28UDyL;-4221.0
3ZkhQSQpHE2hmAnZ2dnV2S;-5650.0
2CPjmIW3X1UwTMVuZnqUpb;-5800.0
3v$QrOIvH3yAV2QXWWNF7Z;5800.0
0L6SiQE4vAFgBrE14kBS2k;5800.0
3kmJyNI_50QwluftRyeuQS;5100.0
15Q3rG0$vEsAo7mJkJlL3f;5016.0
1x9VhsY3f6ah4L2nq_Xymn;3834.0
3Yd1odbBrCVhoffHT_7$DJ;-3834.0
0ArL2FpkzAxAyeRFm7G6Ka;4341.0
1K0OHone147emfgS5QM_u0;5156.0
3ldDGUp$L0a9Kx1RI9BDtx;3834.0
2gyL6Y5Gf8URYg3Bquah62;3866.0
3lkzg6PY19MRk719gjEZ4X;4490.0
0wkra61Bj2wxD9HkdM_o9G;5016.0
0WkfONfgT5YhTDnTVZ36Vk;-5792.0
12XC_pqO53UgNqsLFTuLbo;-5876.0
0VwuZ8ruD8rwLfmwULfe8m;3835.0
3YI6AEa01ARB1gQEUkAR6O;-4123.0
2Cd957FxH2Iu4UaFmgKqFV;5792.0
3egTI921rA3O0NObX7N4v8;4976.0
21Q56o3U10TPqlH$dxRw56;4368.0
1Cdorf5hL4BhVjAqBTav1m;4368.0
2DTnNxtMfE3Pzd82miDD3f;4613.0
1h00hqoFT4ZvETKLBB04Lz;5838.0
1KSMOrR1r8VwxwPu7DWf_f;-4339.0
0Z5wReL_P4CwmYvYHGvomu;-4293.0
2fQ26AQZT9FQvMs1PY9$uA;5156.0
0DJtypn2v9b9KA$GXksEg4;5416.0
0WFOkNsNL8R9sDsb_w2hMd;3835.0
0XKcuTXpP5ixL8vOxblWON;4123.0
1FMA7fpvH38gE2j0xIR2rw;-3834.0
3dDqGn931DfPksZMRZqrT0;-3884.0
0JEOWlU4DBxPF2EyB792m8;-5866.0
28VNMr5Qn4uvMeHTQNsUnR;5416.0
07YAPNIAL3zx1RLwjWaGri;-3835.0
1baLlNTEHCtf6iiMrOoC$f;-3835.0
2ZvrM1KbX51QZ4zMHOTsFT;-4531.0
0Ze22I_N9C9xbvYefb0zNV;5016.0
14siqg0DnAT93UqfOM4AcW;5396.0
0ZQepUaan93esCSI1VZ76k;5016.0
2ylmPRaQHFluiNWJh_2U6L;4976.0
2Pb2EZWOn65er8A1ZBI3$h;5396.0
3xNhEWxSj5LRQ2fhYCmP6b;4976.0
2a0kjBLDT2tPG7Hb4WC8Ft;4446.0
3W6aAzd1X7Y9zr3ch6M9Pj;5416.0
0hF9XRFm57bgLbaW7Qr4Kp;5416.0
2YmD354n5D7uMnNConDoJA;5416.0
0QmX75ni1EMx7khf_SYVCm;5396.0
3ZPEkmqVz5Rgsn181SZGBR;5416.0
38ujImU_jEIgcB33Z2Q1Py;5416.0
07N_v0GgzFbeHMDoVcfbeR;5016.0
1dcRi1OEjB5h3oJXOoIrzK;5416.0
08VuC_worF0hn0iGh4jvqZ;5236.0
21AAvwonXFcuVb3F2RRPIs;5016.0
2HX$2NTW9AfAD_NObVXDv7;-5438.0
02JP9xsN58uPkqUbzzmu41;-3866.0
3lrMja60P6V8NT0lGRETuk;3884.0
1L2JMtD1n8OeqxiHyv1t$y;-5068.0
3H_B3hSLvC8eU$VCwSWoQR;-4862.0
1pcJTLEu55hQA3QbOR1vdL;-4929.0
1cmp2y3FvCJfBW$N6j7M$b;-4863.0
0XqQAgXsD8uuEBbN9O7RqF;-4929.0
2TrIPLBW13WwwHFvgMQ87D;6170.0
3mdYglNBb81OOvtRR3pLj6;-5000.0
22zxMNMXDArhIMobBK2sPT;-5000.0
0$U_KTHe9AfvjRzrkBEx6F;5000.0
3Z1kGERgfBlQo7zdrRB4H5;7530.0
33_x9bhh53qepBYScNj18o;-6926.0
0DxDveVVz44eTWUUPW_7AU;6025.0
2Ahnc592z93hUGWkZrIgC5;-5793.0
0vFF6WHnLEqRd7h0Z6_L29;-5000.0
2R9GugnpTAHwdVabVKhKQr;-5099.0
3f$1qP$u1CUvZQv7rvQvR1;-4115.0
1qFzujUob8y9VAGAPSPZqb;5000.0
1WJUnjehT8cQsmZOCX2QX7;5000.0
116MDDwL11j9wl4Qil57de;5000.0
2JK0kUt_L6lwBhcaY1EiZa;5000.0
0X9_3uRET5r9KG0tnbUWam;-25800.0
2Q$35$vmf3LeBHutcwp0np;-25800.0
33OUx3S01FvPkyvf8q_B3y;5000.0
3IkSvMT_j6AfsUm0IXkfBY;9860.0
3Ut2hfuubCLgIAwysq2ucp;-4200.0
3vVLpkJwLDex_vkqHChSBh;-5811.0
0Jmzd5FlnCrgH0BUflsdmL;-6835.0
0MLfRrKCXCQRLCUmj5LXk0;5600.0
2SQeVfFWXCixlHEXdt8YY_;5000.0
3tB8CpNgbFUwKJn2NBj6zx;-5000.0
2nVAfblrj8gx$cfymkA6j2;5000.0
0I1n5rmkz7kwjEhl7AF1iB;5000.0
21a_a8k_r1vf082MHYEss_;-6406.0
04gb5Op6b0NPJXWBbVh4Ns;4545.0
3SUvbbfjb1_fRPcOzT30vr;4897.0
0_plZiz510D9atpafBMyBx;-5000.0
33ZQHlLOfE4wwlTBU0Qj9z;4650.0
1hPjHHlljFNgcBkGW_M6v5;-6406.0
3etWSlE1jAzu81iOoJqgjz;-5000.0
0y7z658rbAo8i8h6dt21Xq;-5150.0
3YUjHshBbE5O2T95ofcKrV;-5150.0
3UwbkzUJ9FwBrvFbXiTi9a;-5000.0
3BheyG$af06ebPg6AOl6$j;-22297.0
1$YoJppVbBeBqOaTsYtov6;-22297.0
3sDYmZPCb8LRJJ1nx3Kuzb;10000.0
3C2PRmi1H9beD7DcpVH16X;-10000.0
1vPv1R59T6ER$bDnZDfnW6;-10000.0
24lCy1qN1BKfF01A1nBomJ;-31439.0
0BbBhqfmT3$QU7ksbivBHV;-31439.0
31HVNKoRHEseBOUQnkAkmK;-31695.0
2fnilS5L16MAiemdm7kdR9;-20000.0
1Uhm8AFG5Aaerk2bDUebYB;-5000.0
1NiyB4dIb3JxzvNfTB1GA7;5800.0
0P0mRmt7H1dwJXAvMV4WHa;5800.0
1y2zhQKYH77xztcleG0UaE;5800.0
27fMIIIFb2xPS5KCKWMKD2;-24979.0
2iJDpRFQj0$A1BBr6kxE5D;-24979.0
3ZDust_eP0f9Q$5ScbR6eL;-7261.0
2gsAv5smHAmO2tUzQRDle1;-7261.0
1DGa$uvXLDbQJ5ptWNMoJF;-5800.0
3MMeXVryT8ngXf1W3UJfaF;5800.0
3sLZGuAZ97CwMpjpijZCK0;-4235.0
2Y6NyFm4rDqutEddJewTUx;-37572.0
0xKAI10xP9yODNZrjtAWv4;-37572.0
2h5tW$kAn4VxDqVFNWbrJC;5000.0
1VChRIKQ9CwROetruc4a0L;5000.0
1sGapTtZb5SP$uy26B3FlF;-5000.0
3LlNH64k53nRLQek49guNu;-11166.0
2O1j6z6v9C$O2dSJTzg3hv;-31695.0
2Imdishgb6WezLsYBgGZr4;-32110.0
0SP1tiydXFlfjv4mIbhskH;-6231.0
2edTDzC5j36h07yqMR320j;-6231.0
3ywxAjFJj9n85aFLS4rEg6;5800.0
0D7bVleAvAMeafzzhcfafh;5800.0
3KBYGQMST1aRxokf9x6OZI;-31423.0
22uIhp6uP3pe6YbPooZiVY;37571.0
2gJVF2JdX5AwTvNM3huWvR;5786.0
1jAAmhJWvDHRg5WN_CIFFN;-5000.0
0Lrf_2VL11CuMiUrxarYss;10000.0
26KgiJgzv1Q9r0bix6Ddpe;-10000.0
21DZ3MNALA9BYKaIqwOfau;-5800.0
0yvJ34ybX3pRe0r5JKPuvm;-5000.0
1grzG6zlP2sP5fFnblkJmZ;-5800.0
3uiTzHoP51YAjpOdXFs27Y;5950.0
0SIYtG51561Q1ruvK0SQWw;-5000.0
2rbMJRixz8ARwgNNUG0cZF;20000.0
1s3Tij2$n26PuS1CYnYH5s;-4992.0
0VV7SnEx5AvRnwhbm$8kgw;-5076.0
0LZwPvub53vf7gHUxrZxAw;5010.0
37TkTxoYv9$QCmtUg8ZXdU;-4989.0
2A6kCFPZT8OBG0CcId6mUk;4989.0
04vUTBW85B8ROgeClMwgju;4950.0
14mmPzTG121g5hsLBRJe5q;-3837.0
0R8Eyr2KT2EuH6fg0Eh7nF;-3833.0
3ptrCutYj55RoT9IaJ5_rv;3844.0
0ocap8H659gRVWCTeGAPqB;4992.0
0rFNXaID1AOv6v0iGvxWW2;-4796.0
06zB0X_f12k8o3aBpK9_Fr;-4992.0
1vc2WLQXLDERKRgHv49Uj1;-5596.0
338vFVx013M8qrsEZr3i2q;-5146.0
0XzSR_WifBdxTR2DWLGsVX;-4300.0
32edJkxo55R9vdRPd7Xnqj;-5080.0
1UlphfPAb2FuI3pek9N490;3926.0
3A08Wjsh9C$fYC$BL952AR;5402.0
27zANrBzX5q9X1xGblFU0L;3844.0
26Gtl37dXEnAmEefBZqjmx;-4924.0
3ocnASAtX8Ewhrn_kxH9Tx;5118.0
