GUID;ExtrusionY (mm)
0OJ1V$qrn5WA9y$ImDOv3$;-6831.0
2RqjJ1qq5E$gBaOIjzcKs$;-5871.0
1IaGjeEHLDyv6fRss3vJ8b;6800.0
1HDpDbmEf8AQNbzSKIvNHc;-3614.0
0yYTp_ENj1jxtAJ1j6b8ej;-5936.0
3dJLL3Ieb9IvHX4fgxBsp8;6395.0
2fO48GNXzBNBbtxm$Fz7Qc;-6511.0
3BZ4xGa4T95Rvh_4Hn2R8u;-5236.0
3WDz6XBbH3NvcIFJTpcPAC;6381.0
30k_g8i0v1jfDQrgByekg0;-6655.0
0GpYRq0aLApPysoKDFAQMp;4519.0
11dwSN9rzDIAmOn2_OWXvL;6431.0
2fxfK3bgTDS98TkcrFGxmd;-6431.0
0hEuynkLbBWBuRVXbOACBY;8380.0
1MKqHdJP1A$fFWnRq7_nGH;-8380.0
2rsYd2GY50XB1$aOmTxrWn;6655.0
1JZNe2YbL7E9si$87PBlDQ;5936.0
3OroBFNwLCEAm5ZJAthJeW;-3825.0
2nmdBX2hn5QOVKCWZb0Obd;6042.0
04BZ8OL6b7yPSADbcy_PIi;-4216.0
2iVlKJpu5DZRF0abbgS0WW;4540.0
3nyYpWRIz7mQok940paGP_;-6521.0
0XhnEcRBrDLOBFe7Irn07F;-6994.0
3dhFzORAH69e7YzIc03iwy;5900.0
0$nqG6ZXb8_8ci43Zfe$Ad;3825.0
271SCxhnX4tOwM4gFjaAF7;5936.0
1JzStaLmz32R4hv5otuy_f;-8456.0
0XBgowntDCAfcTTqt$MQ6p;-3033.0
3s1ssSyenBPANmt0TRr5rt;-8338.0
3XAvGLT0z54AlVtCoa9DuZ;-3716.0
2ipyrMTNPF5x9gwFfCCKW1;3614.0
3bP8E5PHr6EePMr_DUMv6m;6241.0
3bx0_DrDP9Jg6gGo2l52t2;4519.0
3G7X1P6fHFlwgQJjmIeYg$;4519.0
1CV4R8lOD0IPVWEbkCLKQh;3796.0
3t4dEBEB5EIeGtgB3Pd_Fk;-6236.0
22F7rQIRX4deox5CveRzWb;4519.0
2h5WrNvED6FBHSkJeuvdE6;-6521.0
2dvdn5_Rr5RwcfHxGoGGyZ;-6511.0
1dkWCbeSzD4Q8wns7sSQpY;-3757.0
0mXbLpN0zDsAmHVlb1lPus;3757.0
1oAU8p$l19TPY5xqqKU2uM;6830.0
1QYGJ9qV959unHu7NXYpKb;-5936.0
2r0VFvHtX4Dv5t0sHb02nK;6416.0
1ZejYKolLDE9kztMOdEtfx;3796.0
