GUID;ExtrusionZ (mm)
2NSWGLwVn0uxXwNGf0iOX$;2636.0
2_jb0_Ekv5twIZ_pWpiZPr;3884.0
0M2TwJ2PH4qPjfRyuO8hvM;3810.0
3VyZyePEn3U8jUeCs7GxTV;3797.0
1HDpDbmEf8AQNbzSKIvNHc;-2823.0
2l7O2VrHTCN8lTjpu2qcHQ;-3179.0
2x1Z1Ays59$gzrgmBxbVvw;6875.0
3VPg63iWT69hxlbLSpKqzu;11114.0
3nuSo1hVr8jhVIHoaUmpKM;3781.0
18vHGNLrX1ywh8KW9nyJik;3781.0
0XPAvDq8TA3OlaJW1c$Y0A;3781.0
0QRwPGpIn91Bem8LODbR$Y;3810.0
0weQbe7wz3bPAWVbnDTdJZ;3797.0
3sEvKSsYLBcB8QGbsuQYVQ;2702.0
0L3TFLFML76wERoROcQTXJ;3884.0
3GTtDRSg1B5gCKe3uuZktI;3066.0
2hLQKdSVP3YPd0yLi9gHFW;2636.0
1Gx0fMaUf5GBcbBpyd1lPd;5386.0
0VGM_KSW5BfO3rcz26ynmL;-2742.0
2CWtIm1E998vCUPaWV$E6H;6875.0
05KQK$w$1CJ8rV3lcndcjx;5259.0
1x9VhsY3f6ah4L2nq_Xymn;2996.0
3OroBFNwLCEAm5ZJAthJeW;-2988.0
3Yd1odbBrCVhoffHT_7$DJ;-2996.0
3ldDGUp$L0a9Kx1RI9BDtx;-2996.0
1iEBGFlWf0Qg2a3Vd_KAVB;5259.0
1K_fgqBh50m9n4kb5AszH7;5891.0
1mVdoY2C94nP$A5wKjwcPc;-3179.0
2gyL6Y5Gf8URYg3Bquah62;3020.0
2$6mVXi2rAGOz94mFsldwm;3066.0
2EQXwEo9PB$Pl61_2_pXtz;-3179.0
15ivVL3T5BhewomUXmdUr_;-3179.0
1ElLNMPP1DU95eEdBTcIqo;-2742.0
24B3qof4D9vPZippHrXsyi;6878.0
0VwuZ8ruD8rwLfmwULfe8m;2996.0
3YI6AEa01ARB1gQEUkAR6O;-3221.0
2NWzUQGVj7Yx6V8NMZRlUh;5386.0
0$nqG6ZXb8_8ci43Zfe$Ad;2988.0
0gVu8h0Gz4avImTiCqnKd$;5259.0
2RPN4r49n58uDj1oDt1AjJ;2702.0
2j5pXCVPjAaxPyLM2lm18l;3781.0
0y5tC4co18g9GjfjXxQ1rN;6875.0
2ipyrMTNPF5x9gwFfCCKW1;2823.0
17XMV8D0LDHun3ITOol9pG;6069.0
2_PgoYzKXBzO1gYGTFP0Oy;3824.0
29_abVfk55fQNscr1Jd_Uz;11115.0
1dkWCbeSzD4Q8wns7sSQpY;-2935.0
0mXbLpN0zDsAmHVlb1lPus;2935.0
0DSvaAtH5ATgdiZz7Dc4a_;5259.0
0yiBaDUuv3Vg0STFNLwKDC;5386.0
1FkWx6Jv143R46jTzqYgAa;5386.0
0WFOkNsNL8R9sDsb_w2hMd;-2996.0
1XsSgPNDDDzu0o$5rXA0M$;-2801.0
0XKcuTXpP5ixL8vOxblWON;3221.0
1FMA7fpvH38gE2j0xIR2rw;2996.0
3dDqGn931DfPksZMRZqrT0;-3034.0
1T1d4wG4X9SBLFmdodz9Ch;11115.0
3J$M$FbfL94RrXzeWcqRjG;-2801.0
07YAPNIAL3zx1RLwjWaGri;-2996.0
3r70xdYmj3YvnkQHBflayl;2801.0
1baLlNTEHCtf6iiMrOoC$f;2996.0
1MWSkQTuLFxu$fBx0WC6xZ;2801.0
2jULNp3_HBMBmUKE$OzkvN;11114.0
1v4m5yml5DlBtp_ryG$vhP;11115.0
