GUID;HEIGHT (mm)
0Vkxk6JH9D8ftsVJUglH6M;1100.0
2bQVeFDlvCW9zbCw_bZxGq;1630.0
07O6oL3lP1vA$wQdrCKL0O;2500.0
3TX0C3kxHCWxV1BzFgTbxd;6854.0
3xNJ9_pAr9shPl0OFOQ2fs;1000.0
3OvRTu85X7UhAHmKBYu5gS;1100.0
118aNE1ZX9VwzAakvUiWbv;1340.0
31BXh1UbbF7wTWkyN6bljY;1300.0
3WsN8mqyfAW8D7WRPE32YX;1300.0
2ScJLKl159gRjogloJYqLi;1100.0
3ZQGt7k1bEQPUur5y7hMwS;5800.0
3hfYPArLLAZeYdO3QeuZFi;994.0
1u1sw3j4b6NBAAJJ$tqAaN;1000.0
1YNjok9DrAGfgBjGC2S0gT;1300.0
0q_kaq6GbAngcspDq2fuck;5800.0
1OXA8eGgzFYBGYIQ2Rb_Ol;5822.0
3EtEcYpAX2u8eVOVBSdpPN;1400.0
3KyZdbN4nFZgMwxL1R24iS;5800.0
36nr$u$zf9NhoYcFR56cwu;990.0
2InAuQ0GP3QhQF91jAsonX;990.0
2O$ncunpv1z8DPZ79KUfjc;990.0
1Sg43mxnH9teuNIfL1GMy9;5297.0
2VhswRCyT8W8HDECeAd61Q;11084.0
0665A$qAXEguO4L7wKcYZx;1600.0
2qYrEyFEP97AbeTtuIf_Eu;5345.0
36lzSweA59zuk7_tlBZXo3;1747.0
0lupC89VXFzPn2iCY1K$Hm;2700.0
18cosiwRv2$Q31Jk3KlvKo;1000.0
0FtETzqPT7rRDQVkHiH9CU;1560.0
335zu18C58BQi2v$C1vwci;860.0
20yK4OlDH2YOTgMT1gpO2Z;1837.0
1hBCtYMpP5OQKPU1OAqjI2;1734.0
2BgbnvI2jE4AdhNl6CJf49;10942.0
0PhUSws0HEOuIZ2WzxJl9x;1527.0
0q2cHzqHX1uQTxrtrLYjgy;2104.0
2HXLo4HNL1XBsI0jkr4sYV;1527.0
0$cQzcPTz1yflzX1S9zYud;1484.0
0UW2ovyKr9wAdkdsfrtWeK;2667.0
2n_zF8k6HBuOhrg2VjJhoK;2001.0
1eV48fmnbAXvvzw5tuaaR6;2470.0
16iVdmpn9C1f3C8L7f5SKP;1760.0
2fTX2Az0jFI9r5zukg2EIi;5140.0
2Zu2KpZl117fXwrevJMwQo;851.0
1BoQ24K9P6JfXL92M_8oG2;2320.0
3XenRSBLr8Zh_cm6TmHxzp;1288.0
3alX9XhVP00eKP63G2Vjln;2003.0
0O$z_6kNX57h2f5BnWDJhH;4607.0
3BbTCxIP99$Qsm9VFcKK5G;6180.0
1E9hn5s1965g5sQtkBLWMU;5330.0
2bQht9ebTAsgGxE2IcDD9O;1613.0
2Ido6nN$nEdu_1VgKQdWNa;11620.0
0Ze2pd6pj1SvPfEXctzJaA;11552.0
2rbMJRixz8ARwgNNUG0cZF;1695.0
2pMw45u_DDmfbOCd2psJHr;2289.0
1thtfaLvjFUfymPgTZLXrq;1242.0
0V$672NMjBBhojPa9AkQ_K;1600.0
0z4yP6IdjDSgEmHk0kLMlR;2641.0
1tzi_ImEHBuRzyJyfRoVSx;1625.0
3hXBHP0TH70P8r0zqkj5cL;3600.0
29j9TyHNP629caxXuTFASb;1260.0
0UU3ceQ8rF7v5kK6Ttgm9f;1680.0
27$LO_NxL4hROdpQ5wqy9A;826.0
272owuaKL9mfj99p9WFjpJ;826.0
0E8NkFWbP7JPeENxycTTiq;829.0
08yuXrvaHF0xhkreQgO9b9;990.0
20KzNuuJb8kfUhfywNkQqX;990.0
3mdjkKf4n6hxwk7WzlU6XR;990.0
1AUTDW97HEj8JMmxFOfABT;990.0
3nb4t0V_v388Aa$kQevlup;1440.0
22I_OAAof1t9xDfzEtuam9;995.0
05xMevbRT339Y2J6YzxrD4;1682.0
0gutiC3cz98O1nIn2fEiS_;1195.0
3y12TVUu54yhGjq0BpHB5z;1530.0
0LNnPXKVbATRKPg4x3$3RB;2167.0
1XZRA642D2xe7v$25dwLL8;860.0
3OsZORePXF0RyOqmPQfcZt;1200.0
1cK_aCNpbCDxaSMgmB13gG;860.0
0Ax4xDtrP9hhrEbBXfxGjG;1140.0
3s$095dPT5eAEFk0a1Zyfs;1150.0
3sxKUafm119x24zaUVe2gJ;1072.0
0nomY64k5Esh_WDScjNzQd;1752.0
0zitDGZej86OvCNEQeXrXQ;4549.0
1GiAEyOtT1y8SfFdgLLJEK;5501.0
0B7Gns6_z5uxcQE7Zkg5PX;1488.0
0zsbnoE7L7QQs0sjY2oPGz;2296.0
0ZR3ZWfpz7rvbxdTq6p_B$;1640.0
2N_0jnhF1CgQan1R4VBWjK;1402.0
0dsuxLrtTDnxiqOc2yPJyl;1670.0
3lQDKFTX140fAhAmA5xz4I;1632.0
3aLDu1oQDCmwhxuTCtBXdY;1732.0
1jQwwkuPnEvh$FLQotz2Tv;1445.0
1se9HeYYn91frhYml6hB1j;1604.0
1JQ9DSomv6p9kR2foAVeps;2580.0
2lfvk0di553x9RDEA0U7vl;2117.0
0yWzPaA6f0ShPw0kaPGmzI;3147.0
0ZJCRqqv1D8OmKVXOYnxa1;2011.0
38BO58Nl90swtz7jJAVUiH;3327.0
2zwvlWoYLEOuVSZL5ChANH;1812.0
2U7Je3oXTFVvefX9SuDGOF;1902.0
31HCwrtCb8Bh5tKIsBqCXR;1420.0
1EZ0LxtJbEzB2R2w9j20gK;1732.0
21U1kVoS5CQfBUlWbXzWBh;1759.0
1lOLDf0Pz5RueJioLmI9jr;1400.0
