GUID;PROFILE.CROSS_SECTION_AREA (m²)
3JjOlgpg1AwuG3OpFczEVV;0.02
32xa6lpT58ZRlzIFh_CNce;0.02
38jJAWI3z3seZrZB0S1l8r;0.02
0pczJlO0P94Q90OEyCTKat;0.02
0LYtq8Nnv1zgcJ$mnqJnwA;0.02
0NzknilubAjw9cjLN8p2wn;0.02
2uvbGFQ3P06w78mTjiW0Rh;0.02
2ZNhGNBE1BHgr$o6l5a6U5;0.02
0GW4Rfjp5Ckgs1RJyi8_Lm;0.02
0ANgf_X8bD9f$WMnZ47cBS;0.02
1VBuPOvn9EdA1w7WjnlIUn;0.02
0yYTp_ENj1jxtAJ1j6b8ej;0.02
3VPg63iWT69hxlbLSpKqzu;0.03
2hXJ0izqzDhwHJmLlcKF63;0.03
3j8CxBPAHBjPW83M$u83oE;0.02
1ioEdSDfX1qAtK9eNlbwfC;0.02
3fXTCEJcPFY9Tt79LPC04X;0.02
1JZNe2YbL7E9si$87PBlDQ;0.03
0O1CLkPVv1Ox0AinYGtZOh;0.02
24W0ZznHT5JuwR_eGjJrmY;0.02
3HItRFFfT3tf$4buINqjTB;0.02
0NGCRtnuH9eh6zbGjH8OdT;0.02
271SCxhnX4tOwM4gFjaAF7;0.03
3pi_ZFPzLDhOUUrF80TVgG;0.02
1sTiH7eKPEnhrxMT4nIA0P;0.02
3egTI921rA3O0NObX7N4v8;0.02
1gtyFNsj5EzOh9MDNEDCVl;0.02
0V3wLi$$j16OFwuNhsmESB;0.02
1byvDN5B98sOjzDgoag0j$;0.02
1CV4R8lOD0IPVWEbkCLKQh;0.03
1d5lAH6YjBDejbuhlS9HC0;0.02
29_abVfk55fQNscr1Jd_Uz;0.03
097RDePAr19uwjsSzVopAF;0.02
0q1c36vCrBshD5jdVTJpFR;0.02
0BFk$zbG5FtRbDV0iSo0Ya;0.02
3azJTJmlb3Cw36Bvm913Yy;0.02
1QYGJ9qV959unHu7NXYpKb;0.02
1T1d4wG4X9SBLFmdodz9Ch;0.03
2r0VFvHtX4Dv5t0sHb02nK;0.02
14siqg0DnAT93UqfOM4AcW;0.03
2ylmPRaQHFluiNWJh_2U6L;0.02
2Pb2EZWOn65er8A1ZBI3$h;0.03
1ZejYKolLDE9kztMOdEtfx;0.03
1vz2Bfdcj6V9ETNv9JnNdh;0.03
2jULNp3_HBMBmUKE$OzkvN;0.03
0FtifLCXfF2ePRiAl288qt;0.02
1v4m5yml5DlBtp_ryG$vhP;0.03
3BTBzRL41BVAGp0ZrX63Vx;0.02
3xNhEWxSj5LRQ2fhYCmP6b;0.02
0QmX75ni1EMx7khf_SYVCm;0.03
0C8KoQV5n6ueIMM$iVCU3J;0.02
03oVSDoYb5KORmNH_Y6e5n;0.03
30$TOb5lbCruI6v1MCZYwe;0.02
3rdQVR8n95GhQRBkQjmSqb;0.02
0RX04iad5AKOZ7bvFTMj5N;0.02
1RsmOLiCzFFBu6pJnMqoMf;0.02
2fvXV8ljH85fGPPIsjcNkB;0.02
1xmNsqGm18evc06Xvk6luG;0.02
3IHNjCvl12QA0i_9r$por4;0.02
1F6H4nBSv8ZRODcko04i9F;0.02
0yUOUPRB97RgWVILXvtz$2;0.02
3qDTCQRlnF1x4vrCu6a01_;0.02
0xJcYG1Ub46RN$M_OWmU2L;0.02
2R6V0dcz5BSPJ7gImGpbG8;0.02
2ej4PbcUj58BWfANFdKx4a;0.02
1BYCmhvy186OGXwrhlRz1g;0.02
0bQxchLNf7SvcFKi5ouHyg;0.02
0C6c2pROzDQeuZoOML1H7m;0.02
0esTbIL95Dj9RvU9ZrXOKu;0.02
0aSk1WzaX7e9PaNAAuyt_U;0.02
1QywwHhOr7zQ5QMNBEHe_e;0.02
2RG6XMrhXDmBtkBM5Keos8;0.02
1ouxNIMl90wARYZ8796sS_;0.02
0ykYBz4vH9UAQ8mxQWidNt;0.02
0Lkv3jdNz5rwklngspNSGV;0.02
36nr$u$zf9NhoYcFR56cwu;0.03
0hf64PH953ZA0P2BCpbybU;0.03
3a7YDBvBT4je0B0K0b3RLr;0.03
0am4DmCrXE68xuP3YOUBey;0.02
0X9_3uRET5r9KG0tnbUWam;0.03
2Q$35$vmf3LeBHutcwp0np;0.03
1yExSy$sb9svrU0bLea6XN;0.03
3vVLpkJwLDex_vkqHChSBh;0.02
0qyyCAbEf9FPOnC8vNvdJF;0.02
1w8w_Is3n2IucSnJQPDsrS;0.02
0z$0XC6hXEfvoG8ujKo_tb;0.03
1e_hsO0v14zBLYXuA_fb8J;0.02
2InAuQ0GP3QhQF91jAsonX;0.03
1rjGXVdoz2iBEO$GJokQtz;0.02
2hp8MayDvEcRP30SA_jI__;0.03
2O$ncunpv1z8DPZ79KUfjc;0.03
1XzbuHXdvEhRgDiD5DCng5;0.02
3aP69VqtzAgOpG2Og1FM$n;0.03
0eKdOEuWb10g_9luxRpuhD;0.03
