GUID;VOLUME (m³)
3TX0C3kxHCWxV1BzFgTbxd;2.07
3ZQGt7k1bEQPUur5y7hMwS;1.14
3VPg63iWT69hxlbLSpKqzu;0.37
0q_kaq6GbAngcspDq2fuck;0.61
1OXA8eGgzFYBGYIQ2Rb_Ol;0.63
3KyZdbN4nFZgMwxL1R24iS;1.14
29_abVfk55fQNscr1Jd_Uz;0.37
1T1d4wG4X9SBLFmdodz9Ch;0.37
2jULNp3_HBMBmUKE$OzkvN;0.37
1v4m5yml5DlBtp_ryG$vhP;0.37
03oVSDoYb5KORmNH_Y6e5n;0.37
0X9_3uRET5r9KG0tnbUWam;0.86
2Q$35$vmf3LeBHutcwp0np;0.86
3Zx_H_qz974xRugg0z3xpL;0.26
31q047yNT1wult$_MfZF6u;0.26
1Sg43mxnH9teuNIfL1GMy9;1.28
2VhswRCyT8W8HDECeAd61Q;4.18
2qYrEyFEP97AbeTtuIf_Eu;1.1
2BgbnvI2jE4AdhNl6CJf49;3.65
0q2cHzqHX1uQTxrtrLYjgy;0.25
0$cQzcPTz1yflzX1S9zYud;0.28
0UW2ovyKr9wAdkdsfrtWeK;0.35
1eV48fmnbAXvvzw5tuaaR6;0.42
16iVdmpn9C1f3C8L7f5SKP;0.43
2fTX2Az0jFI9r5zukg2EIi;1.54
3XenRSBLr8Zh_cm6TmHxzp;0.22
3alX9XhVP00eKP63G2Vjln;0.22
0O$z_6kNX57h2f5BnWDJhH;0.49
3BbTCxIP99$Qsm9VFcKK5G;1.08
1E9hn5s1965g5sQtkBLWMU;0.63
2Ido6nN$nEdu_1VgKQdWNa;10.34
0Ze2pd6pj1SvPfEXctzJaA;11.4
2rbMJRixz8ARwgNNUG0cZF;1.01
2pMw45u_DDmfbOCd2psJHr;0.29
0V$672NMjBBhojPa9AkQ_K;0.81
0z4yP6IdjDSgEmHk0kLMlR;0.38
1tzi_ImEHBuRzyJyfRoVSx;0.86
3hXBHP0TH70P8r0zqkj5cL;0.45
29j9TyHNP629caxXuTFASb;0.25
0UU3ceQ8rF7v5kK6Ttgm9f;0.86
3jAiQ_uxz3Bx4eqvQ8kBTl;0.32
2cFWso2lzAch2zw165KO32;0.31
18NBOigA980RCUqbV9Nn8s;0.23
1N$mEC7yn41QIX6ed5wus_;0.35
0nfgJ6TUb5whvYkG8NfCXb;0.25
0rhXYCWm1FRfRMF7Pu9CSl;0.23
0CzDk3V4nEuxTNVA6MIxlZ;0.26
3lMndcoMv5d9bLbI_6l8Y0;0.26
0smCXq90b1OhDM82LSAd4D;0.23
2Wexsi7Wv2yO4ON9cXzBpJ;0.22
2iX4pyCUn6iwOqhId3Tk7D;0.26
0ZvI2tNd91zfzqHwDG8XRp;0.31
3YPgnarq14rQNj1t5xiZrH;0.35
39hcE8ec1DexmxmUYerK6v;0.26
0cfFvPVCv6HhorHPsxGS0C;0.25
0fgAhDPE9B7AAntyh06uoM;0.23
1BlqhMxX54tQfObszxKCpZ;0.27
0S9xwG98963gnLgoaYEYKC;0.35
1Q0M7BdFf0hPQzJvo4ZObi;0.23
1CCYDW9pb22xlFgxU_GjIX;0.23
3$J7aFYOv1CRE7487zVCHu;0.23
3kkT5i$crD_hmX89zqAXbC;0.31
3eIvCt3Cv1Exs55tfnaBZ$;0.35
08yuXrvaHF0xhkreQgO9b9;0.38
1Wpu9vAAbFsft1nikUTMVk;0.26
20KzNuuJb8kfUhfywNkQqX;0.39
2s3B8k9fLAVuctjByQvaal;0.3
01ULJoW$T8EeGg8zRRQTWg;0.31
3rdUB2_jDEguWy_20Rreal;0.22
1t9$oGWX5BJeM4PErgsmqa;0.32
1QJl0jWYDFz9U2g92RxJgq;0.26
32q_BBZIf96glwijwu9eAK;0.26
2fz1$Mvzr9DwqGJdukKnaE;0.26
1fAMNlJhf42fOE1EXxmcfI;0.26
1dICwu9avDyu8IYLwNkVGP;0.24
0n9JTEiYL3KQj2disxhiW7;0.35
2CA6K_my9C8Rz8JLguxB9R;0.26
1pPiaTKsD7RP1rXVrOs_aM;0.32
1udsjpjIP878znX8V7FszI;0.23
2uXLjRjjH1Of8YuAIWNv9l;0.31
2Q8_0cKD9CVRZYjGWXUqds;0.22
1FceQaQKDCvvKuuRwT34ZY;0.22
2B81k6TQ17oQkY9h8_6M1F;0.22
2YWiQnMz93cRWzeAKTxgBP;0.22
3mdjkKf4n6hxwk7WzlU6XR;0.41
1AUTDW97HEj8JMmxFOfABT;0.39
3wm_kwNDT4VB9j8giEXxQA;0.25
0RZ3vlHVX9B9hycDPo4UFd;0.25
3nb4t0V_v388Aa$kQevlup;0.58
05xMevbRT339Y2J6YzxrD4;0.45
3y12TVUu54yhGjq0BpHB5z;0.46
0LNnPXKVbATRKPg4x3$3RB;0.43
0nomY64k5Esh_WDScjNzQd;0.43
0zitDGZej86OvCNEQeXrXQ;2.11
1GiAEyOtT1y8SfFdgLLJEK;1.37
3aLDu1oQDCmwhxuTCtBXdY;0.43
1se9HeYYn91frhYml6hB1j;0.57
1l8XloFTDD9fJT$dfxULev;0.31
1JQ9DSomv6p9kR2foAVeps;0.81
2lfvk0di553x9RDEA0U7vl;0.42
0yWzPaA6f0ShPw0kaPGmzI;0.31
0ZJCRqqv1D8OmKVXOYnxa1;0.67
38BO58Nl90swtz7jJAVUiH;0.64
2zwvlWoYLEOuVSZL5ChANH;0.77
31HCwrtCb8Bh5tKIsBqCXR;0.33
1lOLDf0Pz5RueJioLmI9jr;0.39
0i$oU16s58f9dSyST1GgSq;0.71
1fy5DJP1PFUvF8zOdwpf9_;0.55
0a$ugzEyP3rA$izbTO2P7I;0.38
3xgof8bFb3pO1oB3_Lldz5;0.45
1chZfIcT18ivp5K1fruT21;0.38
31Xzcbpz18zhPeLtZBkoOH;0.4
05DioXUr5DJepx8d_Q1BZ8;0.4
1HU47KhfXDy9eCU$RyDR4L;0.82
