GUID;WEIGHT (t)
3TX0C3kxHCWxV1BzFgTbxd;2.813
38jJAWI3z3seZrZB0S1l8r;0.705
1glH8dMXf4KwYRapHJ3sS2;0.443
0yYTp_ENj1jxtAJ1j6b8ej;0.842
2x1Z1Ays59$gzrgmBxbVvw;0.805
3ZQGt7k1bEQPUur5y7hMwS;1.547
2fO48GNXzBNBbtxm$Fz7Qc;0.444
2Fl0sFzfz9uO36VYKizLbs;0.444
3VPg63iWT69hxlbLSpKqzu;2.915
2hXJ0izqzDhwHJmLlcKF63;1.415
0tBA0eThv74O8GSnmcTIEa;0.443
1JZNe2YbL7E9si$87PBlDQ;1.557
0q_kaq6GbAngcspDq2fuck;0.824
1Gx0fMaUf5GBcbBpyd1lPd;0.63
2CWtIm1E998vCUPaWV$E6H;0.805
05KQK$w$1CJ8rV3lcndcjx;0.615
1OXA8eGgzFYBGYIQ2Rb_Ol;0.855
3KyZdbN4nFZgMwxL1R24iS;1.55
15Q3rG0$vEsAo7mJkJlL3f;0.443
1iEBGFlWf0Qg2a3Vd_KAVB;0.615
1K_fgqBh50m9n4kb5AszH7;0.689
0wkra61Bj2wxD9HkdM_o9G;0.443
24B3qof4D9vPZippHrXsyi;0.805
3nyYpWRIz7mQok940paGP_;0.444
2NWzUQGVj7Yx6V8NMZRlUh;0.63
271SCxhnX4tOwM4gFjaAF7;1.557
0gVu8h0Gz4avImTiCqnKd$;0.615
3egTI921rA3O0NObX7N4v8;0.705
3s1ssSyenBPANmt0TRr5rt;0.736
0y5tC4co18g9GjfjXxQ1rN;0.805
17XMV8D0LDHun3ITOol9pG;0.71
1CV4R8lOD0IPVWEbkCLKQh;0.804
2h5WrNvED6FBHSkJeuvdE6;0.576
2dvdn5_Rr5RwcfHxGoGGyZ;0.444
29_abVfk55fQNscr1Jd_Uz;2.915
0DSvaAtH5ATgdiZz7Dc4a_;0.615
0yiBaDUuv3Vg0STFNLwKDC;0.63
1FkWx6Jv143R46jTzqYgAa;0.63
1QYGJ9qV959unHu7NXYpKb;0.842
1T1d4wG4X9SBLFmdodz9Ch;2.915
0Ze22I_N9C9xbvYefb0zNV;0.443
2r0VFvHtX4Dv5t0sHb02nK;0.91
14siqg0DnAT93UqfOM4AcW;1.415
0ZQepUaan93esCSI1VZ76k;0.443
2ylmPRaQHFluiNWJh_2U6L;0.705
2Pb2EZWOn65er8A1ZBI3$h;1.415
1ZejYKolLDE9kztMOdEtfx;0.804
1vz2Bfdcj6V9ETNv9JnNdh;1.557
2jULNp3_HBMBmUKE$OzkvN;2.915
1v4m5yml5DlBtp_ryG$vhP;2.915
3xNhEWxSj5LRQ2fhYCmP6b;0.705
0QmX75ni1EMx7khf_SYVCm;1.415
07N_v0GgzFbeHMDoVcfbeR;0.443
03oVSDoYb5KORmNH_Y6e5n;2.915
2sKUFHIFvCGg2LIJqDbY5D;0.444
30$TOb5lbCruI6v1MCZYwe;0.842
21AAvwonXFcuVb3F2RRPIs;0.443
3Ap71FFtb1uwr5wmof$bB4;0.72
0tXtp02Mn449FUI_cWoQGw;0.68
23GCuCB3DCYuzTQTdjHkM0;0.466
2tCB617kT9Peu1ZyfuvMhQ;0.466
2TrIPLBW13WwwHFvgMQ87D;0.722
1GEhSOV6L8wBLZCROioGB$;1.237
0X9_3uRET5r9KG0tnbUWam;6.767
2Q$35$vmf3LeBHutcwp0np;6.767
3vVLpkJwLDex_vkqHChSBh;0.711
04gb5Op6b0NPJXWBbVh4Ns;0.503
1XzbuHXdvEhRgDiD5DCng5;1.058
0mBv2Kx$jAfvOaCSjnqWlb;0.549
1XXHLJywzCMhxWXu2s3UNJ;0.549
1NiyB4dIb3JxzvNfTB1GA7;1.024
27fMIIIFb2xPS5KCKWMKD2;0.779
2iJDpRFQj0$A1BBr6kxE5D;0.779
1RsuSoZD9FJwgUvPLY5DfN;1.32
2snuUr0_TFlhFt$Gr91uoW;1.474
3Zx_H_qz974xRugg0z3xpL;2.061
31q047yNT1wult$_MfZF6u;2.061
1Sg43mxnH9teuNIfL1GMy9;1.732
2VhswRCyT8W8HDECeAd61Q;5.668
2qYrEyFEP97AbeTtuIf_Eu;1.486
2BgbnvI2jE4AdhNl6CJf49;4.952
0UW2ovyKr9wAdkdsfrtWeK;0.473
1eV48fmnbAXvvzw5tuaaR6;0.57
16iVdmpn9C1f3C8L7f5SKP;0.584
2fTX2Az0jFI9r5zukg2EIi;2.088
0O$z_6kNX57h2f5BnWDJhH;0.667
3BbTCxIP99$Qsm9VFcKK5G;1.461
1E9hn5s1965g5sQtkBLWMU;0.861
2Ido6nN$nEdu_1VgKQdWNa;14.027
0Ze2pd6pj1SvPfEXctzJaA;15.471
2rbMJRixz8ARwgNNUG0cZF;1.364
0V$672NMjBBhojPa9AkQ_K;1.099
0z4yP6IdjDSgEmHk0kLMlR;0.518
1tzi_ImEHBuRzyJyfRoVSx;1.169
3hXBHP0TH70P8r0zqkj5cL;0.613
0UU3ceQ8rF7v5kK6Ttgm9f;1.169
3jAiQ_uxz3Bx4eqvQ8kBTl;2.508
39xkHHyVb4pvpCppqfArl1;0.467
09vWfbD$57xA9I6ygHIgUQ;0.902
2PkWk7S5z6O86JGSekUzgu;0.484
2cFWso2lzAch2zw165KO32;2.396
2ffXG8YIX7m8odCfbFclBq;1.667
0_xkTinEn1g8KwE1jzX0B8;0.458
0enYHXl69EpvZCH1l76Mw_;0.451
3nr216uZ9Ethl6MJ1rp$nQ;0.566
18NBOigA980RCUqbV9Nn8s;1.811
2WDbHs1Xb2mfZt_t2uHNcm;0.585
2vGE9ln0bEj9B9QWje3JKU;0.483
0jbmfUi5f8oxiFZ0MhW50D;1.095
2x6Eho3GL2bg$QynoCLWwK;1.055
0s2czpvl1AaeUhehPMjoxD;1.055
1ttHjgWDv5h90pI9EDRgj3;1.055
1ZaJ7gjVr8LuQqbzINmOvx;1.055
1N$mEC7yn41QIX6ed5wus_;2.769
0YuZBMf_fAqh_lta7bW_fO;1.222
3w9Wsbvbv8XfvgTBqQpBq_;0.529
3IuJ9YJNvBj8eQmgkSEFTH;0.585
0nfgJ6TUb5whvYkG8NfCXb;1.974
04BvsmpDzEkQe_Ukkm6jQQ;0.502
0mKcjKBxfDRe51TqeqoyLv;0.483
0qVApLPHXEbhAMlKYaqd5P;0.479
3zYNBW$If5AvRrhF320u68;0.484
0rhXYCWm1FRfRMF7Pu9CSl;1.811
0dGxP5zdLDSg2Piuu0epQH;0.684
2Pm$ghSnHBc8xShEOZDlB2;0.458
1966FTjAfET9p3Qe8tvnzN;0.847
1ISA4MjcL1MBonql2Fs2bA;1.474
1zh$iPPMXDBxOZg9Fgzwhx;0.534
1J7PhZhUXCD9q40X2neqmX;0.483
0CzDk3V4nEuxTNVA6MIxlZ;2.064
3lMndcoMv5d9bLbI_6l8Y0;2.064
0smCXq90b1OhDM82LSAd4D;1.811
2Wexsi7Wv2yO4ON9cXzBpJ;1.756
2iX4pyCUn6iwOqhId3Tk7D;2.025
0ZvI2tNd91zfzqHwDG8XRp;2.396
3YPgnarq14rQNj1t5xiZrH;2.765
1JChAl1sL2WQ34Y9DX6_l8;0.533
0vpAmfkIT8YAmy8XthBiV7;0.626
1Pf4KSSZr58ur1zsjD8Zcq;0.639
3aZ7iM28bF_OF5r_n7IAdf;1.018
39hcE8ec1DexmxmUYerK6v;2.061
08jBImEG17tgGlmv8gCo8S;1.095
1bK7SHN_DFLvVrk5z_PyIV;0.694
3fKWuy8$1CYucXNmzmquL8;0.468
0bzYjh3a9CbOTRvnU3if5z;0.53
3kcUcL8NvB4e1Ivbv_lUAE;0.48
1zdx2QQgf6VupfH92ZTpx8;0.484
0cfFvPVCv6HhorHPsxGS0C;1.924
0fgAhDPE9B7AAntyh06uoM;1.811
2vwyfqebbCF9hUJIFEKzge;0.684
3Qpb$zvwPFl98yBijJzZZG;0.869
1Oxk2L2kH5ZQNT$$UJWsb1;0.946
2W$qFPnh946uVCQDnF$uuw;0.775
3wNegBgLrECOzuq1cbrvsR;0.948
1Ei_lF7YbEquH8_Yh4hAyb;1.095
1qg2HOTinAnAx0Z$1PW_VP;1.095
0Yl4x78IvFqezaNjBahr30;0.921
1BlqhMxX54tQfObszxKCpZ;2.13
